[2026-07-22 17:12:04] [INFO] Evaluated 45549 BIN items. Flips Found: 255. Cache Queue: 102 pending.
[2026-07-22 17:12:04] [FLIP] [Tier 5] Mythic Bouncy Leggings              | Cost: 129,000      | Profit: 5,301,211   | Sales/Day: 999  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Runeblade Ring                      | Cost: 4,500,000    | Profit: 1,301,211   | Sales/Day: 493  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Glacite Leggings                    | Cost: 4,000,000    | Profit: 1,331,211   | Sales/Day: 886  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Waxed Lava Shell Necklace           | Cost: 8,000,000    | Profit: 2,551,211   | Sales/Day: 15   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fierce Adaptive Helmet ✪✪✪          | Cost: 300,000      | Profit: 1,820,847   | Sales/Day: 107  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Bustling Squash Leggings            | Cost: 22,000,000   | Profit: 4,794,709   | Sales/Day: 25   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 2,340,000    | Profit: 3,031,210   | Sales/Day: 116  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Calcified Water Hydra Head          | Cost: 6,500,000    | Profit: 2,201,210   | Sales/Day: 317  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Calcified Slug Boots                | Cost: 2,000,000    | Profit: 3,350,209   | Sales/Day: 150  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Calcified Moogma Leggings           | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Bustling Rancher's Boots            | Cost: 9,000,000    | Profit: 1,301,210   | Sales/Day: 209  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fast Conjuring                      | Cost: 135,320      | Profit: 5,362,849   | Sales/Day: 159  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Wise Zombie Commander Helmet        | Cost: 2,500,000    | Profit: 3,101,211   | Sales/Day: 59   
[2026-07-22 17:15:03] [FLIP] [Tier 4] Smart Zombie Commander Chestplate   | Cost: 555,000      | Profit: 4,986,211   | Sales/Day: 59   
[2026-07-22 17:15:03] [FLIP] [Tier 1] Necrotic Hot Aurora Helmet          | Cost: 11,999,999   | Profit: 1,359,634   | Sales/Day: 3    
[2026-07-22 17:15:03] [FLIP] [Tier 2] Necrotic Fiery Aurora Leggings ✪    | Cost: 75,000,000   | Profit: 7,503,517   | Sales/Day: 5    
[2026-07-22 17:15:03] [FLIP] [Tier 5] Pure Skeleton Master Chestplate     | Cost: 1,200,000    | Profit: 4,161,210   | Sales/Day: 338  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fierce Superior Dragon Leggings ✪   | Cost: 10,780,000   | Profit: 1,576,781   | Sales/Day: 123  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Wise Skeleton Soldier Helmet        | Cost: 500,000      | Profit: 4,847,210   | Sales/Day: 135  
[2026-07-22 17:15:03] [FLIP] [Tier 2] Necrotic Fiery Aurora Leggings      | Cost: 75,000,000   | Profit: 10,740,782  | Sales/Day: 5    
[2026-07-22 17:15:03] [FLIP] [Tier 2] Necrotic Fiery Aurora Boots         | Cost: 75,000,000   | Profit: 8,465,213   | Sales/Day: 4    
[2026-07-22 17:15:03] [FLIP] [Tier 5] Bustling Rancher's Boots            | Cost: 8,000,000    | Profit: 2,794,708   | Sales/Day: 209  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Light Zombie Lord Leggings          | Cost: 1,000,000    | Profit: 5,261,210   | Sales/Day: 44   
[2026-07-22 17:15:03] [FLIP] [Tier 3] Titanic Mender Crown ✪✪✪✪✪          | Cost: 8,500,000    | Profit: 1,075,109   | Sales/Day: 23   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Heroic Silent Death                 | Cost: 900,000      | Profit: 4,887,945   | Sales/Day: 119  
[2026-07-22 17:15:03] [FLIP] [Tier 2] Absolutely Perfect Chestplate - Tie | Cost: 17,990,000   | Profit: 8,215,945   | Sales/Day: 4    
[2026-07-22 17:15:03] [FLIP] [Tier 3] Fabled Giant Cleaver ✪✪✪✪✪          | Cost: 7,000,000    | Profit: 4,246,740   | Sales/Day: 23   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Mossy Rancher's Boots               | Cost: 9,999,900    | Profit: 2,776,046   | Sales/Day: 209  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Goblin Leggings                     | Cost: 950,000      | Profit: 4,381,211   | Sales/Day: 196  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Pure Super Heavy Leggings           | Cost: 1,000,000    | Profit: 4,360,098   | Sales/Day: 104  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Heroic Dreadlord Sword              | Cost: 299,000      | Profit: 5,104,169   | Sales/Day: 320  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Pure Zombie Lord Helmet             | Cost: 1,960,000    | Profit: 4,131,210   | Sales/Day: 43   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Adaptive Leggings                   | Cost: 650,000      | Profit: 1,392,784   | Sales/Day: 106  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Fabled Pyrochaos Dagger             | Cost: 53,000,000   | Profit: 11,948,788  | Sales/Day: 15   
[2026-07-22 17:15:03] [FLIP] [Tier 3] Fabled Deathripper Dagger           | Cost: 55,800,000   | Profit: 15,149,788  | Sales/Day: 16   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 300,000      | Profit: 5,121,210   | Sales/Day: 209  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Ancient Mythos Chestplate           | Cost: 13,840,000   | Profit: 7,226,373   | Sales/Day: 21   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,999,000    | Profit: 1,202,210   | Sales/Day: 313  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Bustling Squash Chestplate          | Cost: 20,820,800   | Profit: 2,480,411   | Sales/Day: 28   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Necrotic Moogma Leggings ✪✪✪✪✪      | Cost: 2,800,000    | Profit: 3,503,787   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Fierce Bouncy Leggings              | Cost: 500,000      | Profit: 4,931,210   | Sales/Day: 75   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,499,998    | Profit: 1,701,212   | Sales/Day: 313  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Spider Ring                         | Cost: 8,000,000    | Profit: 3,801,211   | Sales/Day: 104  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Ancient Burning Crimson Leggings    | Cost: 30,222,972   | Profit: 3,543,806   | Sales/Day: 25   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,300,000    | Profit: 1,901,210   | Sales/Day: 313  
[2026-07-22 17:15:03] [FLIP] [Tier 2]  Spiritual Bonemerang ✪✪✪✪✪        | Cost: 17,000,000   | Profit: 2,303,835   | Sales/Day: 4    
[2026-07-22 17:15:03] [FLIP] [Tier 5] Light Zombie Soldier Chestplate     | Cost: 499,000      | Profit: 4,845,211   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,499,999    | Profit: 1,701,211   | Sales/Day: 313  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Suspicious Pyrochaos Dagger         | Cost: 54,899,900   | Profit: 5,501,682   | Sales/Day: 15   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Menacing Balloon Snake ✪✪✪✪✪        | Cost: 11,000,000   | Profit: 3,111,210   | Sales/Day: 212  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 1,111,111    | Profit: 4,310,099   | Sales/Day: 209  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Mythic Skeleton Master Chestplate   | Cost: 2,000,000    | Profit: 3,361,210   | Sales/Day: 338  
[2026-07-22 17:15:03] [FLIP] [Tier 2] Loving Burning Aurora Chestplate    | Cost: 33,000,000   | Profit: 3,733,696   | Sales/Day: 10   
[2026-07-22 17:15:03] [FLIP] [Tier 2] Necrotic Burning Aurora Leggings    | Cost: 32,000,000   | Profit: 4,333,697   | Sales/Day: 9    
[2026-07-22 17:15:03] [FLIP] [Tier 5] Taurus Helmet                       | Cost: 2,600,000    | Profit: 2,851,211   | Sales/Day: 122  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Mythic Skeletor Helmet              | Cost: 450,000      | Profit: 5,050,210   | Sales/Day: 100  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Heroic Zombie Knight Sword          | Cost: 200,000      | Profit: 5,221,169   | Sales/Day: 157  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Renowned Werewolf Helmet ✪✪✪✪✪      | Cost: 24,100,000   | Profit: 5,900,708   | Sales/Day: 44   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Blooming Peony Necklace             | Cost: 1,840,000    | Profit: 1,269,600   | Sales/Day: 158  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Goblin Leggings                     | Cost: 1,000,000    | Profit: 4,331,211   | Sales/Day: 196  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Taurus Helmet                       | Cost: 3,000,000    | Profit: 2,451,211   | Sales/Day: 122  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Smart Skeleton Master Boots         | Cost: 300,000      | Profit: 5,055,933   | Sales/Day: 116  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Water Hydra Head                    | Cost: 4,300,000    | Profit: 4,401,210   | Sales/Day: 317  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 400,000      | Profit: 5,021,210   | Sales/Day: 209  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Epic Dreadlord Sword                | Cost: 489,000      | Profit: 4,914,169   | Sales/Day: 320  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Glacite Helmet                      | Cost: 3,000,000    | Profit: 2,331,060   | Sales/Day: 882  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Fabled Deathripper Dagger           | Cost: 69,000,000   | Profit: 11,755,957  | Sales/Day: 16   
[2026-07-22 17:15:03] [FLIP] [Tier 4] Wise Bouncy Helmet                  | Cost: 100,000      | Profit: 5,301,211   | Sales/Day: 77   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Giant Skeleton Master Chestplate ✪✪ | Cost: 7,340,000    | Profit: 2,287,992   | Sales/Day: 338  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fierce Slug Boots                   | Cost: 1,000,000    | Profit: 4,433,064   | Sales/Day: 150  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Titanic Super Heavy Chestplate      | Cost: 400,000      | Profit: 4,951,210   | Sales/Day: 107  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fierce Zombie Knight Chestplate ✪✪✪ | Cost: 900,000      | Profit: 4,501,210   | Sales/Day: 121  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Waxed Lava Shell Necklace           | Cost: 8,780,000    | Profit: 1,771,211   | Sales/Day: 15   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Ghostly Boots                       | Cost: 1,400,000    | Profit: 4,361,211   | Sales/Day: 161  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,500,000    | Profit: 1,701,210   | Sales/Day: 313  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,800,000    | Profit: 1,401,210   | Sales/Day: 313  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Wise Skeleton Soldier Helmet        | Cost: 400,000      | Profit: 4,947,210   | Sales/Day: 135  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Spicy Zombie Soldier Cutlass        | Cost: 400,000      | Profit: 5,002,169   | Sales/Day: 186  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Spider Ring                         | Cost: 8,000,000    | Profit: 3,801,211   | Sales/Day: 104  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fine Soulstealer Bow                | Cost: 1,000,000    | Profit: 4,323,211   | Sales/Day: 175  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Pure Skeleton Soldier Chestplate    | Cost: 1,999,999    | Profit: 3,321,212   | Sales/Day: 142  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Rabbit Hat                          | Cost: 2,499,998    | Profit: 2,899,715   | Sales/Day: 191  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 999,000      | Profit: 4,372,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Water Hydra Head                    | Cost: 7,000,000    | Profit: 1,701,210   | Sales/Day: 317  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 2,500,000    | Profit: 2,871,210   | Sales/Day: 116  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Gentle Zombie Soldier Cutlass       | Cost: 99,000       | Profit: 5,303,169   | Sales/Day: 186  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Fairy's Polo                        | Cost: 1,500,000    | Profit: 3,851,211   | Sales/Day: 83   
[2026-07-22 17:15:03] [FLIP] [Tier 4] Fairy's Polo                        | Cost: 1,999,999    | Profit: 3,351,212   | Sales/Day: 83   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Miner Helmet                        | Cost: 1,500,000    | Profit: 3,901,211   | Sales/Day: 187  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Ancient Mythos Leggings             | Cost: 35,000,000   | Profit: 7,026,136   | Sales/Day: 19   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Clean Skeleton Soldier Boots        | Cost: 1,000,000    | Profit: 4,336,211   | Sales/Day: 138  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,700,000    | Profit: 1,501,210   | Sales/Day: 313  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Goblin Chestplate                   | Cost: 100,000      | Profit: 5,251,211   | Sales/Day: 197  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fast Silent Death                   | Cost: 1,000,000    | Profit: 4,787,945   | Sales/Day: 119  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 3,000,000    | Profit: 2,371,210   | Sales/Day: 116  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Brilliant Lava Shell Necklace       | Cost: 8,999,999    | Profit: 1,551,212   | Sales/Day: 15   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 9,000,000    | Profit: 1,201,210   | Sales/Day: 313  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 9,000,000    | Profit: 1,201,210   | Sales/Day: 313  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Snowy Thunderbolt Necklace          | Cost: 4,500,000    | Profit: 4,499,999   | Sales/Day: 68   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Wise Skeleton Master Helmet         | Cost: 400,000      | Profit: 4,962,211   | Sales/Day: 117  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Miner Helmet                        | Cost: 3,900,000    | Profit: 1,501,211   | Sales/Day: 187  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Wise Skeleton Lord Leggings         | Cost: 1,200,000    | Profit: 4,500,211   | Sales/Day: 34   
[2026-07-22 17:15:03] [FLIP] [Tier 4] Fierce Skeletor Helmet              | Cost: 1,000,000    | Profit: 4,500,210   | Sales/Day: 100  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Heavy Zombie Knight Leggings        | Cost: 259,000      | Profit: 5,112,210   | Sales/Day: 98   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 399,999      | Profit: 5,021,211   | Sales/Day: 209  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,999,000    | Profit: 1,202,210   | Sales/Day: 313  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Ancient Werewolf Leggings ✪✪✪✪✪     | Cost: 7,000,000    | Profit: 3,027,057   | Sales/Day: 41   
[2026-07-22 17:15:03] [FLIP] [Tier 3] Fabled Deathripper Dagger           | Cost: 57,320,000   | Profit: 14,029,538  | Sales/Day: 16   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Wise Super Heavy Helmet             | Cost: 300,000      | Profit: 5,071,210   | Sales/Day: 105  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fierce Skeleton Master Boots ✪✪✪✪✪  | Cost: 3,000,000    | Profit: 2,355,933   | Sales/Day: 116  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Goblin Leggings                     | Cost: 1,300,000    | Profit: 4,031,211   | Sales/Day: 196  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Spicy Zombie Knight Sword           | Cost: 200,000      | Profit: 5,221,169   | Sales/Day: 157  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Pure Super Heavy Helmet             | Cost: 210,000      | Profit: 5,161,210   | Sales/Day: 105  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 2,444,444    | Profit: 2,926,766   | Sales/Day: 116  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 4,000,000    | Profit: 1,421,210   | Sales/Day: 209  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Wise Skeleton Master Chestplate     | Cost: 3,000,000    | Profit: 2,361,210   | Sales/Day: 338  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Trashy Rod of Champions             | Cost: 22,000,000   | Profit: 6,904,389   | Sales/Day: 131  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Titanic Zombie Knight Helmet        | Cost: 400,000      | Profit: 5,016,210   | Sales/Day: 97   
[2026-07-22 17:15:03] [FLIP] [Tier 1] ✿ Ancient Infernal Terror Boots     | Cost: 420,000,000  | Profit: 60,922,025  | Sales/Day: 1    
[2026-07-22 17:15:03] [FLIP] [Tier 1] ✿ Ancient Infernal Terror Leggings  | Cost: 420,000,000  | Profit: 63,183,357  | Sales/Day: 1    
[2026-07-22 17:15:03] [FLIP] [Tier 3] Suspicious Deathripper Dagger       | Cost: 62,700,000   | Profit: 19,731,814  | Sales/Day: 16   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 400,000      | Profit: 5,021,210   | Sales/Day: 209  
[2026-07-22 17:15:03] [FLIP] [Tier 2] Renowned Infernal Crimson Helmet    | Cost: 295,000,000  | Profit: 33,404,069  | Sales/Day: 6    
[2026-07-22 17:15:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Taurus Helmet                       | Cost: 3,500,000    | Profit: 1,951,211   | Sales/Day: 122  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Wise Zombie Soldier Helmet          | Cost: 200,000      | Profit: 5,131,210   | Sales/Day: 135  
[2026-07-22 17:15:03] [FLIP] [Tier 2] Ancient Hot Terror Leggings ✪✪✪✪✪   | Cost: 40,000,000   | Profit: 18,084,053  | Sales/Day: 4    
[2026-07-22 17:15:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 500,000      | Profit: 4,850,209   | Sales/Day: 150  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,209   | Sales/Day: 150  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,550,000    | Profit: 3,821,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Rooted Peony Necklace               | Cost: 5,000,000    | Profit: 6,109,599   | Sales/Day: 158  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fine Machine Gun Shortbow           | Cost: 10,000,000   | Profit: 8,674,464   | Sales/Day: 254  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Snowy Thunderbolt Necklace          | Cost: 9,500,000    | Profit: 4,801,211   | Sales/Day: 68   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Wise Skeleton Master Leggings       | Cost: 500,000      | Profit: 4,861,210   | Sales/Day: 117  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Moonglade Ring                      | Cost: 8,000,000    | Profit: 5,301,211   | Sales/Day: 69   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Heavy Zombie Soldier Chestplate     | Cost: 1,000,000    | Profit: 4,344,211   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Heavy Zombie Soldier Chestplate     | Cost: 500,000      | Profit: 4,844,211   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Wise Skeleton Master Leggings       | Cost: 3,500,000    | Profit: 1,861,210   | Sales/Day: 117  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Legendary Earthen Blade             | Cost: 1,000,000    | Profit: 4,443,167   | Sales/Day: 153  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Brilliant Molten Necklace           | Cost: 3,670,000    | Profit: 5,079,997   | Sales/Day: 220  
[2026-07-22 17:15:03] [FLIP] [Tier 2] Loving Hot Aurora Chestplate        | Cost: 10,000,000   | Profit: 2,375,181   | Sales/Day: 5    
[2026-07-22 17:15:03] [FLIP] [Tier 3] Withered Pyrochaos Dagger           | Cost: 55,000,000   | Profit: 7,495,621   | Sales/Day: 15   
[2026-07-22 17:15:03] [FLIP] [Tier 3] Suspicious Deathripper Dagger       | Cost: 57,670,000   | Profit: 8,732,582   | Sales/Day: 16   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Heroic Zombie Soldier Cutlass       | Cost: 500,000      | Profit: 4,902,169   | Sales/Day: 186  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,209   | Sales/Day: 150  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,209   | Sales/Day: 150  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fast Conjuring                      | Cost: 500,000      | Profit: 4,998,169   | Sales/Day: 159  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Epic Zombie Soldier Cutlass         | Cost: 100,000      | Profit: 5,302,169   | Sales/Day: 186  
[2026-07-22 17:15:03] [FLIP] [Tier 2] Ancient Perfect Chestplate - Tier X | Cost: 19,999,999   | Profit: 2,380,946   | Sales/Day: 4    
[2026-07-22 17:15:03] [FLIP] [Tier 5] Pure Rotten Leggings                | Cost: 667,667      | Profit: 4,678,544   | Sales/Day: 141  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,209   | Sales/Day: 150  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,209   | Sales/Day: 150  
[2026-07-22 17:15:03] [FLIP] [Tier 1] Absolutely Perfect Boots - Tier XII | Cost: 25,000,000   | Profit: 9,444,333   | Sales/Day: 2    
[2026-07-22 17:15:03] [FLIP] [Tier 5] Goblin Chestplate                   | Cost: 1,500,000    | Profit: 3,851,211   | Sales/Day: 197  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 139  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Fabled Deathripper Dagger           | Cost: 62,899,000   | Profit: 8,351,663   | Sales/Day: 16   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Rapid Soulstealer Bow               | Cost: 499,999      | Profit: 4,823,212   | Sales/Day: 175  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Rabbit Hat                          | Cost: 2,499,999    | Profit: 2,899,714   | Sales/Day: 191  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 1,499,999    | Profit: 3,850,210   | Sales/Day: 150  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Suspicious Pyrochaos Dagger         | Cost: 45,999,000   | Profit: 9,496,993   | Sales/Day: 15   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Slug Boots                          | Cost: 1,000,000    | Profit: 4,350,209   | Sales/Day: 150  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fierce Zombie Knight Chestplate     | Cost: 999,999      | Profit: 4,401,211   | Sales/Day: 121  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Withered Deathripper Dagger         | Cost: 58,000,000   | Profit: 8,227,500   | Sales/Day: 16   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Farmer Orb                          | Cost: 13,000,000   | Profit: 5,301,211   | Sales/Day: 999  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 3,000,000    | Profit: 2,421,210   | Sales/Day: 209  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 3,000,000    | Profit: 2,421,210   | Sales/Day: 209  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Ghostly Boots                       | Cost: 4,000,000    | Profit: 1,761,211   | Sales/Day: 161  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fierce Super Heavy Helmet           | Cost: 444,444      | Profit: 4,926,766   | Sales/Day: 105  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Ghostly Boots                       | Cost: 1,800,000    | Profit: 3,961,211   | Sales/Day: 161  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Heroic Earthen Blade                | Cost: 999,999      | Profit: 4,443,168   | Sales/Day: 153  
[2026-07-22 17:15:03] [FLIP] [Tier 4] Moonglade Ring                      | Cost: 9,000,000    | Profit: 4,301,211   | Sales/Day: 69   
[2026-07-22 17:15:03] [FLIP] [Tier 5] Titanic Zombie Soldier Helmet       | Cost: 999,999      | Profit: 4,331,211   | Sales/Day: 135  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Fast Earthen Blade ✪✪✪✪✪            | Cost: 1,000,000    | Profit: 4,443,167   | Sales/Day: 153  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 4,000,000    | Profit: 1,371,210   | Sales/Day: 116  
[2026-07-22 17:15:03] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 4,000,000    | Profit: 1,371,210   | Sales/Day: 116  
[2026-07-22 17:15:03] [FLIP] [Tier 3] Fabled Deathripper Dagger           | Cost: 61,999,999   | Profit: 6,499,677   | Sales/Day: 16   
